Code_Commune;Poste_source
2601;1203.0
2602;1807.0
2604;518.0
2605;527.0
2606;691.0
2607;539.0
2608;2187.0
2609;235.0
2610;265.0
2612;1202.0
2613;1203.0
2614;528.0
2615;666.0
2616;660.0
2617;619.0
2618;1473.0
2619;1807.0
2620;1807.0
2621;619.0
2622;691.0
2623;1469.0
2624;640.0
2625;640.0
2626;1203.0
2627;1203.0
2628;667.0
2629;640.0
2631;660.0
2632;1807.0
2633;1202.0
2634;1449.0
2635;1473.0
2636;527.0
2637;666.0
2638;527.0
2639;1911.0
2640;527.0
2641;1449.0
2642;2029.0
2643;659.0
2644;667.0
2645;800.0
2646;1202.0
2647;525.0
2648;527.0
2649;2185.0
2650;570.0
2651;1911.0
2652;1469.0
2653;690.0
2654;640.0
2655;800.0
2656;1203.0
2657;1469.0
2658;2186.0
2659;666.0
2660;1449.0
2661;1807.0
2662;691.0
2663;539.0
2664;1602.0
2665;691.0
2666;1449.0
2667;539.0
2668;1469.0
2669;800.0
2670;570.0
2671;660.0
2672;659.0
2673;659.0
2674;1449.0
2675;235.0
2676;1203.0
2677;526.0
2678;1449.0
2679;691.0
2680;1911.0
2681;1469.0
2682;1202.0
2683;1435.0
2684;2187.0
2685;1911.0
2686;660.0
2687;539.0
2688;1469.0
2689;1469.0
2690;1449.0
2691;2186.0
2693;691.0
2694;518.0
2695;1202.0
2696;1203.0
2697;235.0
2698;1807.0
2699;2185.0
2701;690.0
2702;2186.0
2703;1473.0
2704;660.0
2705;1449.0
2706;539.0
2707;1911.0
2708;666.0
2709;1473.0
2710;2186.0
2711;539.0
2712;2185.0
2713;2185.0
2714;265.0
2715;1202.0
2716;1911.0
2717;527.0
2718;667.0
2719;660.0
2720;1449.0
2721;527.0
2722;265.0
2723;1449.0
2724;691.0
2725;570.0
2726;518.0
2727;1469.0
2728;570.0
2729;659.0
2730;1807.0
2731;1469.0
2732;527.0
2733;1807.0
2734;667.0
2735;1202.0
2736;265.0
2737;1449.0
2738;1911.0
2739;265.0
2740;2187.0
2741;527.0
2742;1469.0
2743;1449.0
2744;526.0
2745;1469.0
2746;1911.0
2747;528.0
2748;800.0
2749;691.0
2750;660.0
2751;1807.0
2752;518.0
2753;640.0
2754;660.0
2755;1807.0
2756;2186.0
2757;640.0
2758;1807.0
2759;1469.0
2760;1473.0
2761;1203.0
2762;659.0
2763;265.0
2764;1202.0
2765;619.0
2766;1807.0
2767;265.0
2768;1807.0
2769;1473.0
2770;539.0
2771;1202.0
2772;518.0
2773;1202.0
2774;528.0
2775;1911.0
2776;528.0
2777;1602.0
2778;1202.0
2779;525.0
2780;265.0
2781;526.0
2782;528.0
2783;640.0
2784;640.0
2785;528.0
2786;660.0
2787;235.0
2788;1911.0
2789;2187.0
2790;1469.0
2791;235.0
2792;690.0
2793;659.0
2794;1999.0
2795;659.0
2796;691.0
2797;1202.0
2798;690.0
2799;539.0
2800;526.0
2801;1449.0
2802;1449.0
2803;1203.0
2804;539.0
2805;265.0
2806;2185.0
2807;660.0
2808;528.0
2809;1999.0
2810;667.0
2811;1202.0
2812;691.0
2813;527.0
2814;640.0
2815;518.0
2816;2185.0
2817;1202.0
2818;690.0
2819;1449.0
2820;660.0
2821;619.0
2822;667.0
2823;1469.0
2824;235.0
2826;1469.0
2827;1469.0
2828;265.0
2829;265.0
2830;525.0
2831;2187.0
2832;640.0
2833;570.0
2834;1807.0
3001;771.0
3002;1968.0
3003;1971.0
3004;770.0
3005;1060.0
3006;373.0
3007;1714.0
3008;771.0
3009;1968.0
3010;1060.0
3011;1187.0
3012;1968.0
3013;1187.0
3014;546.0
3015;1968.0
3016;743.0
3017;770.0
3018;743.0
3019;1433.0
3020;1714.0
3021;1155.0
3022;1973.0
3023;374.0
3024;1018.0
3025;1159.0
3026;1017.0
3027;1186.0
3028;770.0
3029;1986.0
3030;1155.0
3031;1186.0
3032;1973.0
3033;374.0
3034;1986.0
3035;1018.0
3036;1968.0
3037;837.0
3038;743.0
3039;1017.0
3040;1159.0
3041;1206.0
3042;373.0
3043;743.0
3044;771.0
3045;771.0
3046;1186.0
3047;1714.0
3048;1971.0
3049;743.0
3050;355.0
3051;1060.0
3052;1714.0
3053;1973.0
3054;1159.0
3055;1060.0
3056;373.0
3057;1187.0
3058;1186.0
3059;743.0
3060;374.0
3061;1155.0
3062;1973.0
3063;1453.0
3064;211.0
3065;1017.0
3066;373.0
3067;1018.0
3068;770.0
3069;1017.0
3070;1186.0
3071;770.0
3072;1206.0
3073;1159.0
3074;1433.0
3075;1973.0
3076;1187.0
3077;1973.0
3078;2065.0
3079;1986.0
3080;1155.0
3081;1714.0
3082;1714.0
3083;743.0
3084;1186.0
3085;1187.0
3086;1453.0
3087;1971.0
3088;1060.0
3089;1973.0
3090;1968.0
3091;1986.0
3092;1017.0
3093;374.0
3094;374.0
3095;374.0
3096;1973.0
3097;1186.0
3098;395.0
3099;1017.0
3100;348.0
3101;1060.0
3102;348.0
3103;1018.0
3104;1714.0
3105;770.0
3106;1714.0
3107;1973.0
3108;2065.0
3109;1155.0
3110;374.0
3111;1060.0
3112;743.0
3113;355.0
3114;1986.0
3115;743.0
3116;743.0
3117;1968.0
3118;1155.0
3119;1433.0
3120;1433.0
3121;1187.0
3122;1968.0
3123;1060.0
3124;1986.0
3125;355.0
3126;771.0
3127;1206.0
3128;1060.0
3129;1714.0
3130;1971.0
3131;373.0
3132;770.0
3133;1155.0
3134;743.0
3135;1973.0
3136;394.0
3137;1986.0
3138;770.0
3139;355.0
3140;394.0
3141;355.0
3142;1018.0
3143;837.0
3144;1018.0
3145;394.0
3146;1968.0
3147;1018.0
3148;743.0
3149;743.0
3150;1186.0
3151;1714.0
3152;1973.0
3153;1206.0
3154;1018.0
3155;1971.0
3156;1187.0
3157;770.0
3158;1206.0
3159;1714.0
3160;1986.0
3161;393.0
3162;1968.0
3163;771.0
3164;1155.0
3165;373.0
3166;1155.0
3167;393.0
3168;1206.0
3169;1017.0
3170;1017.0
3171;348.0
3172;911.0
3173;1453.0
3174;771.0
3175;1973.0
3176;743.0
3177;1018.0
3178;1018.0
3179;1986.0
3180;1159.0
3181;1018.0
3182;1155.0
3183;1017.0
3184;1187.0
3185;395.0
3186;1186.0
3187;1986.0
3188;743.0
3189;1714.0
3190;1187.0
3191;1186.0
3192;2065.0
3193;1206.0
3194;1973.0
3195;394.0
3196;1018.0
3197;1159.0
3198;1971.0
3200;1187.0
3201;373.0
3202;1017.0
3203;1433.0
3204;1986.0
3205;770.0
3206;393.0
3207;348.0
3208;1018.0
3209;1155.0
3210;1971.0
3211;394.0
3212;394.0
3213;1060.0
3214;1017.0
3215;1986.0
3216;1714.0
3217;395.0
3218;1968.0
3219;1186.0
3220;1973.0
3221;837.0
3222;1206.0
3223;373.0
3224;373.0
3225;1206.0
3226;1018.0
3227;743.0
3228;911.0
3229;1187.0
3230;374.0
3231;393.0
3232;1986.0
3233;394.0
3234;1986.0
3235;1986.0
3236;374.0
3237;1155.0
3238;1968.0
3239;1453.0
3240;1018.0
3241;211.0
3242;1986.0
3243;1973.0
3244;393.0
3245;1433.0
3246;394.0
3247;1968.0
3248;373.0
3249;911.0
3250;373.0
3251;1971.0
3252;1155.0
3253;348.0
3254;743.0
3255;1155.0
3256;1186.0
3257;770.0
3258;374.0
3259;911.0
3260;1186.0
3261;394.0
3262;1060.0
3263;1986.0
3264;771.0
3265;348.0
3266;1986.0
3267;743.0
3268;1155.0
3269;1186.0
3270;1186.0
3271;374.0
3272;770.0
3273;374.0
3274;1018.0
3275;1017.0
3276;1973.0
3277;1973.0
3278;1973.0
3279;393.0
3280;393.0
3281;1017.0
3282;1971.0
3283;348.0
3284;348.0
3285;1186.0
3286;1159.0
3287;1017.0
3288;911.0
3289;1986.0
3290;1187.0
3291;770.0
3292;1017.0
3293;1206.0
3294;1973.0
3295;1973.0
3296;1971.0
3297;1206.0
3298;1986.0
3299;770.0
3300;348.0
3301;1060.0
3302;1973.0
3303;1186.0
3304;374.0
3305;1060.0
3306;771.0
3307;743.0
3308;1973.0
3309;211.0
3310;374.0
3311;1973.0
3312;1186.0
3313;1206.0
3314;394.0
3315;1186.0
3316;1187.0
3317;911.0
3318;1206.0
3319;1973.0
3320;1968.0
3321;1187.0
4001;328.0
4004;606.0
4005;1893.0
4006;1149.0
4007;1893.0
4008;1893.0
4009;328.0
4012;1400.0
4013;733.0
4016;328.0
4017;332.0
4018;1400.0
4019;1907.0
4020;332.0
4021;733.0
4022;1893.0
4023;332.0
4024;1149.0
4025;1149.0
4026;331.0
4027;1144.0
4028;328.0
4030;327.0
4031;606.0
4032;1718.0
4033;331.0
4034;696.0
4035;696.0
4036;328.0
4037;754.0
4039;1142.0
4040;328.0
4041;696.0
4042;1320.0
4043;1718.0
4045;605.0
4046;328.0
4047;328.0
4049;733.0
4050;1144.0
4051;1400.0
4053;733.0
4054;328.0
4055;328.0
4057;754.0
4058;754.0
4059;1893.0
4061;1149.0
4062;1955.0
4063;610.0
4065;1400.0
4066;754.0
4067;2076.0
4068;605.0
4069;327.0
4070;328.0
4072;328.0
4073;1907.0
4074;328.0
4075;1144.0
4076;1718.0
4077;696.0
4079;733.0
4081;1382.0
4084;328.0
4085;331.0
4086;1907.0
4087;1400.0
4088;1400.0
4090;1893.0
4091;733.0
4092;1142.0
4093;331.0
4094;1382.0
4095;1400.0
4096;1955.0
4097;328.0
4099;1893.0
4100;1955.0
4101;1400.0
4102;332.0
4104;1400.0
4106;696.0
4107;606.0
4108;733.0
4109;733.0
4110;733.0
4111;1400.0
4112;605.0
4113;328.0
4115;1893.0
4116;733.0
4118;754.0
4120;1955.0
4121;328.0
4122;733.0
4123;1144.0
4124;606.0
4126;332.0
